Index,Question,Answer,LO,Difficult,Name concept,Supchapter,Page,Paragraph,Instruction,Inbook
576,"Which of the following is the correct output on running the below code in Python? 
print(""The output is:"") 
print(""Hello!"") 
Select one: 
  A.Runtime error 
  B.Syntax error
  C.None of the above 
  D.The output is: Hello!
  E.-1
  F.-1",C. None of the above,LO1,Easy,"""Print function""",CO1.4,6,"""The strings in the print statements are enclosed in quotes.
Single quotes and double quotes do the same thing; most people use single quotes
except in cases like this where a single quote (which is also an apostrophe) appears
in the string""",None,T
585,"Which of the following prints ""Hello world\"" Select one: 
  A.Both b and c 
  B. print(""Hello world"",""\"") 
  C. print(""Hello world\\"") 
  D. print(""Hello world\"")
  E.-1
  F.-1","B. print(""Hello world\\\\"")",LO1,Easy,,,,,,
588,"Place the steps performed by the Python interpreter in correct order. (i) Execute the code (ii) Compile the code (iii) Process the programmer's code sequentially Select one: 
  A. i,iii,ii 
  B. ii,iii,i 
  C. i,ii,iii 
  D. iii,ii,i
  E.-1
  F.-1","D. iii,ii,i",LO1,Easy,"""Interpreter"", ""Compiler""","CO1.6, CO1.6","8, 8","""An interpreter reads the source code of the program as written by the programmer,
parses the source code, and interprets the instructions on the fly."", """"A compiler needs to be handed the entire program in a file, and then it runs a process to translate the high-level source code into machine language and then the compiler puts the resulting machine language into a file for later execution.""",None,"T, T"
593,"Which of the following are the correct ways to run Python interactively? Select one: 
  A. Enter ""python run"" in the windows command prompt, ""python3"" in the Terminal and ""python3"" in the Linux Terminal window 
  B. Enter ""python"" in the windows command prompt, ""python3"" in the Terminal and ""python3"" in the Linux Terminal window 
  C. Enter ""python"" in the windows command prompt, ""python run"" in the Terminal and ""python execute"" in the Linux Terminal window 
  D. Enter ""python"" in the windows command prompt, ""python execute"" in the Terminal and ""python3"" in the Linux Terminal window
  E.-1
  F.-1","B. Enter ""python"" in the windows command prompt, ""python3"" in the Terminal and ""python3"" in the Linux Terminal window",LO1,Easy,"""Interpreter""",CO1.5,6,"""At some point, you will be in a terminal or
command window and you will type python and the Python interpreter will start
executing in interactive mode""",None,T
612,"What do 'R' and 'E' mean in 'REPL'? Select one: 
  A.Run and Execute 
  B.Read and Execute
  C.Run and Enter 
  D.Read and Enter
  E.-1
  F.-1",B. Read and Execute,LO1,Advance,"""REPL""",None,None,None,None,F
665,"Which of the following is a wrong way to print a string? Select one: 
  A. print(""Value of str1 is %s and str2 is %s"",str1,str2) 
  B. print(""Value of str1 is "",str1,"" and str2 is "",str2) 
  C. print(f""Value of str1 is {str1} and str2 is {str2}"") 
  D. print(""Value of str1 is {} and str2 is {}"".format(str1,str2))
  E.-1
  F.-1","A. print(""Value of str1 is %s and str2 is %s"",str1,str2)",LO1,Easy,"""Print function""",CO1.4,6,"""The strings in the print statements are enclosed in quotes.
Single quotes and double quotes do the same thing; most people use single quotes
except in cases like this where a single quote (which is also an apostrophe) appears
in the string""",None,T
678,"What is a correct syntax to output ""Hello World"" in Python? 
  A. print(""Hello World"") 
  B. echo ""Hello World"" 
  C.p(""Hello World"") 
  D.echo(""Hello World"");
  E.-1
  F.-1","A. print(""Hello World"") ",LO1,Easy,"""Print function""",CO1.4,6,"""The strings in the print statements are enclosed in quotes.
Single quotes and double quotes do the same thing; most people use single quotes
except in cases like this where a single quote (which is also an apostrophe) appears
in the string.""",None,T
711,"Which of the following prints ""Hello World"" Select one: 
  A. print(""Hello world"",""\"") 
  B. print(""Hello world\\"") 
  C. in(""Hello world\"") 
  D.Both b and c 
  E.-1
  F.-1","B. print(""Hello world\\"") ",LO1,Easy,"""Print function""",CO1.4,6,"""The strings in the print statements are enclosed in quotes.
Single quotes and double quotes do the same thing; most people use single quotes
except in cases like this where a single quote (which is also an apostrophe) appears
in the string.""",None,T
718,"Put the steps taken by the Python interpreter in the correct order. (i) Code execution (ii) Compile the code (iii) Sequential processing of programmer's code Select one: 
  A. iii,ii,i 
  B. i, iii, ii 
  C. i, ii, iii 
  D. ii,iii,i
  E.-1
  F.-1","A. iii,ii,i ",LO1,Easy,"""Interpreter"", ""Compiler""","CO1.6, CO1.6","8, 8","""An interpreter reads the source code of the program as written by the programmer,
parses the source code, and interprets the instructions on the fly."", """"A compiler needs to be handed the entire program in a file, and then it runs a process to translate the high-level source code into machine language and then the compiler puts the resulting machine language into a file for later execution.""",None,"T, T"
734,"Which of the following is the correct output when running the below code in Python? 
print(""The result is:"") 
print(""Hello!"") 
Select one: 
  A.Syntax error 
  B.None of the above
  C.Runtime Error 
  D.Output is: Hello!
  E.-1
  F.-1",B.None of the above,LO1,Easy,"""Print function""",CO1.4,6,"""The strings in the print statements are enclosed in quotes.
Single quotes and double quotes do the same thing; most people use single quotes
except in cases like this where a single quote (which is also an apostrophe) appears
in the string""",None,T
736,"What do 'R' and 'E' mean in 'REPL .' Select one: 
  A.Read and perform 
  B.Read and execute
  C.Run and Enter 
  D.Read and enter
  E.-1
  F.-1",B. Read and execute,LO1,Advance,"""REPL""",None,None,None,None,F
747,"Which of the following is the correct way to run Python interactively? Select one: 
  A. Type ""python"" in windows command prompt, ""executable python"" in Terminal and ""python3"" in Linux Terminal window 
  B. Type ""python"" in windows command prompt, ""python3"" in Terminal and ""python3"" in Linux Terminal window 
  C. Type ""python run"" in windows command prompt, ""python3"" in Terminal and ""python3"" in Linux Terminal window 
  D. Type ""python"" in windows command prompt, ""python run"" in Terminal and ""python execute"" in Linux Terminal window
  E.-1
  F.-1","B. Type ""python"" in windows command prompt, ""python3"" in Terminal and ""python3"" in Linux Terminal window",LO1,Easy,"""Interpreter""",CO1.5,6,"""At some point, you will be in a terminal or
command window and you will type python and the Python interpreter will start
executing in interactive mode""",None,T
749,"hich of the following are the correct ways to run Python interactively? Select one: 
  A. Enter ""python run"" in the windows command prompt, ""python3"" in the Terminal and ""python3"" in the Linux Terminal window 
  B. Enter ""python"" in the windows command prompt, ""python3"" in the Terminal and ""python3"" in the Linux Terminal window 
  C. Enter ""python"" in the windows command prompt, ""python run"" in the Terminal and ""python execute"" in the Linux Terminal window 
  D. Enter ""python"" in the windows command prompt,
  E.-1
  F.-1","B. Enter ""python"" in the windows command prompt, ""python3"" in the Terminal and ""python3"" in the Linux Terminal window",LO1,Easy,"""Interpreter""",CO1.5,6,"""At some point, you will be in a terminal or
command window and you will type python and the Python interpreter will start
executing in interactive mode""",None,T
